open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-17 21:10:00,27686.52,27686.52,27574.68000000,27598.0,532.60702000,2023-08-17 21:10:00,14707486.24756530,9066,223.43696000,6168134.78562980,0
2023-08-17 21:15:00,27598.01,27677.66,27576.81000000,27674.17,286.32095000,2023-08-17 21:15:00,7910474.23443880,6337,143.30408000,3959011.76446770,0
2023-08-17 21:20:00,27674.18,27717.24,27674.17000000,27696.34,288.79877000,2023-08-17 21:20:00,8000051.75369270,4775,132.08633000,3658634.68704530,0
2023-08-17 21:25:00,27696.33,27699.08,27672.94000000,27672.95,119.46182000,2023-08-17 21:25:00,3307607.29241660,2920,45.98716000,1273307.06617130,0
2023-08-17 21:30:00,27672.94,27716.08,27672.94000000,27712.11,158.35747000,2023-08-17 21:30:00,4386052.85944200,3203,97.20330000,2691924.74007940,0
2023-08-17 21:35:00,27712.11,27712.11,27553.00000000,27578.74,559.80509000,2023-08-17 21:35:00,15462849.77318060,12470,236.14002000,6519815.06327010,0
2023-08-17 21:40:00,27578.74,27605.86,25188.00000000,25188.01,5543.12856000,2023-08-17 21:40:00,146755027.30309380,125539,1486.78882000,39129195.76604890,0
2023-08-17 21:45:00,25188.0,26347.32,25166.00000000,25999.96,4165.06434000,2023-08-17 21:45:00,107331864.18820720,109553,2164.79176000,55815082.63318960,0
2023-08-17 21:50:00,25959.94,26481.9,25680.30000000,26268.0,2962.84014000,2023-08-17 21:50:00,77141889.69134130,79851,1663.95721000,43334167.42865230,0
2023-08-17 21:55:00,26267.99,26437.39,26084.68000000,26253.92,2376.73051000,2023-08-17 21:55:00,62396202.88278440,51762,1328.05623000,34864072.31999740,0
2023-08-17 22:00:00,26253.93,26500.0,26189.27000000,26295.99,2122.75148000,2023-08-17 22:00:00,55883345.09843310,37235,1101.18083000,28988124.83606330,0
2023-08-17 22:05:00,26296.0,26320.0,26080.22000000,26171.29,1610.59983000,2023-08-17 22:05:00,42228400.32678720,28523,849.94966000,22282521.12210200,0
2023-08-17 22:10:00,26171.3,26250.0,25950.00000000,26186.01,1639.01417000,2023-08-17 22:10:00,42832726.05553320,30171,912.39602000,23848921.70380990,0
2023-08-17 22:15:00,26186.01,26387.7,26175.88000000,26311.25,1430.17162000,2023-08-17 22:15:00,37614654.60711140,24383,803.98856000,21143732.06584470,0
2023-08-17 22:20:00,26311.24,26433.46,26297.22000000,26422.01,1240.35111000,2023-08-17 22:20:00,32687204.15477810,21941,730.35951000,19249172.13764750,0
2023-08-17 22:25:00,26422.01,26496.71,26360.42000000,26472.01,1263.91568000,2023-08-17 22:25:00,33405683.01964890,19618,639.29847000,16897645.48965150,0
2023-08-17 22:30:00,26472.01,26482.82,26350.89000000,26352.4,1167.35031000,2023-08-17 22:30:00,30829651.84665740,19670,643.04655000,16983081.16390300,0
2023-08-17 22:35:00,26352.4,26428.18,26287.74000000,26309.65,865.15322000,2023-08-17 22:35:00,22787450.84971010,16692,525.92647000,13852282.42601670,0
2023-08-17 22:40:00,26309.64,26393.31,26294.00000000,26340.06,773.50823000,2023-08-17 22:40:00,20367472.67187850,13610,446.53208000,11757550.99201740,0
2023-08-17 22:45:00,26340.05,26424.56,26300.99000000,26423.54,784.17965000,2023-08-17 22:45:00,20683113.15816330,12931,361.66229000,9536208.67454650,0
2023-08-17 22:50:00,26423.55,26475.02,26400.00000000,26445.41,535.40897000,2023-08-17 22:50:00,14150516.06136800,11503,322.16309000,8514339.61578650,0
2023-08-17 22:55:00,26445.42,27150.0,26432.00000000,26801.29,2981.54590000,2023-08-17 22:55:00,79836238.97151320,46762,1746.24894000,46747855.19433320,0
2023-08-17 23:00:00,26801.3,26865.39,26682.32000000,26834.0,1096.94840000,2023-08-17 23:00:00,29388058.53730310,20189,629.20309000,16857624.40821500,0
2023-08-17 23:05:00,26834.0,27000.0,26810.01000000,26862.01,1412.24949000,2023-08-17 23:05:00,37983506.48217700,21387,757.34867000,20368073.52140210,0
2023-08-17 23:10:00,26862.01,26919.34,26818.00000000,26850.07,1265.06381000,2023-08-17 23:10:00,33998570.15488220,15575,656.33374000,17636615.07795460,0
2023-08-17 23:15:00,26850.07,26886.01,26777.37000000,26810.01,624.01815000,2023-08-17 23:15:00,16745406.85112720,13023,345.79499000,9278961.85656130,0
2023-08-17 23:20:00,26810.0,26810.01,26710.00000000,26744.12,549.43831000,2023-08-17 23:20:00,14693364.57284520,12373,258.25724000,6906334.34849070,0
2023-08-17 23:25:00,26744.13,26744.13,26570.51000000,26638.01,795.35290000,2023-08-17 23:25:00,21186495.35827080,15242,395.08521000,10523520.78127890,0
2023-08-17 23:30:00,26638.0,26661.46,26512.08000000,26524.01,656.89425000,2023-08-17 23:30:00,17477217.02567930,12444,298.60540000,7943422.08316050,0
2023-08-17 23:35:00,26524.01,26643.95,26458.67000000,26600.0,631.67325000,2023-08-17 23:35:00,16766738.38500080,13299,361.56111000,9597850.01236950,0
2023-08-17 23:40:00,26600.0,26726.0,26594.01000000,26667.99,479.66304000,2023-08-17 23:40:00,12791690.57695390,10432,293.34789000,7822532.50480490,0
2023-08-17 23:45:00,26667.99,26698.0,26625.97000000,26648.27,405.63691000,2023-08-17 23:45:00,10813146.43593550,8053,224.29306000,5978630.47904990,0
2023-08-17 23:50:00,26648.26,26648.27,26583.58000000,26607.99,395.32222000,2023-08-17 23:50:00,10520351.80175090,7541,209.58551000,5577469.16806780,0
2023-08-17 23:55:00,26608.0,26670.0,26607.99000000,26623.41,638.02724000,2023-08-17 23:55:00,16997170.55071660,7991,333.56148000,8884197.11010370,0
2023-08-18 00:00:00,26623.41,26664.25,26593.86000000,26664.24,454.25655000,2023-08-18 00:00:00,12091507.63079860,9759,276.77358000,7366629.30189620,0
2023-08-18 00:05:00,26664.25,26816.0,26664.24000000,26764.4,457.49940000,2023-08-18 00:05:00,12233444.43052120,11266,272.20270000,7277621.16088090,0
